FBCF,Consumo,PIB,periodo,%I,%C,%Y
5529511.902,1459725.745,7474213.956,1980/01,0.021821408,0.017452285,0.006523661
5650173.636,1485201.295,7522973.195,1980/02,0.033086939,0.024426038,0.021587648
5837120.587,1521478.879,7685376.492,1980/03,0.010335136,0.024522426,0.028958664
5897448.025,1558789.232,7907934.726,1980/04,0.089042577,0.00745554,0.02232972
6422571.993,1570410.848,8084516.695,1981/01,0.052144145,0.015672055,0.025911429
6757471.517,1595022.413,8293998.072,1981/02,-0.004881295,0.024011891,0.005227584
6724486.305,1633321.918,8337355.645,1981/03,-0.009858891,0.006484896,0.017915773
6658190.325,1643913.84,8486725.815,1981/04,-0.034080244,-0.001735358,-0.019267878
6431277.577,1641061.061,8323204.616,1982/01,-0.077472488,-0.013311793,0.001523821
5933030.499,1619215.596,8335887.692,1982/02,-0.083664153,-0.030485667,-0.007192045
5436648.526,1569852.729,8275935.609,1982/03,-0.211082145,-0.010227555,-0.021942286
4289069.095,1553796.974,8094342.662,1982/04,-0.072311369,-0.015976898,-0.007393761
3978920.636,1528972.119,8034495.027,1983/01,-0.02008381,-0.001911198,-0.020107147
3899008.749,1526049.951,7872944.256,1983/02,0.002645234,7.5126E-05,0.008301427
3909322.541,1526164.597,7938300.931,1983/03,0.065887453,0.005174362,0.011504459
4166897.845,1534061.525,8029626.79,1983/04,-0.052039342,0.018439843,0.02760114
3950055.221,1562349.379,8251253.645,1984/01,0.027758233,9.28845E-05,-0.014718913
4059701.773,1562494.497,8129804.157,1984/02,0.119200211,0.015265067,0.024215547
4543619.079,1586346.08,8326671.815,1984/03,-0.018203829,-0.007674197,-0.008812305
4460907.813,1574172.148,8253294.647,1984/04,0.036313677,0.025040738,0.018291121
4622899.78,1613590.581,8404256.66,1985/01,0.003388884,0.006108103,-0.000866412
4638566.253,1623446.558,8396975.114,1985/02,0.001289321,-0.000939364,0.006254045
4644546.852,1621921.551,8449490.178,1985/03,-0.029320761,-0.004395362,-0.002714966
4508365.205,1614792.619,8426550.103,1985/04,-0.012106046,0.005987112,-0.019282385
4453786.73,1624460.563,8264066.116,1986/01,-0.059029478,-0.019023617,-0.003735198
4190882.022,1593557.447,8233198.195,1986/02,-0.080988945,-0.013737702,-0.018982088
3851466.91,1571665.629,8076914.9,1986/03,-0.01740423,-0.016724713,-0.00273023
3784435.095,1545379.972,8054863.062,1986/04,-0.023879997,-0.001482231,0.00597476
3694062.795,1543089.362,8102988.939,1987/01,0.127674636,0.028244239,0.027362311
4165700.917,1586672.746,8324705.442,1987/02,0.012736029,0.00969809,0.001070608
4218755.404,1602060.441,8333617.942,1987/03,0.009979381,0.005615711,0.012083266
4260855.971,1611057.15,8434315.262,1987/04,0.00080527,-0.01431601,-0.006755062
4264287.109,1587993.24,8377340.937,1988/01,0.005372088,-0.001384576,-0.003208528
4287195.233,1585794.543,8350462.005,1988/02,0.023391011,0.007328302,0.001234225
4387477.065,1597415.725,8360768.353,1988/03,-0.010533657,0.036009595,0.019922306
4341260.888,1654938.019,8527334.135,1988/04,0.041633755,0.02571726,0.018736779
4522003.879,1697498.491,8687108.909,1989/01,0.017562371,0.012801736,0.000382055
4601420.989,1719229.418,8690427.866,1989/02,-0.013380332,0.017239223,0.01864124
4539852.448,1748867.597,8852428.216,1989/03,0.013552104,-0.011293037,-0.008817717
4601377,1729117.571,8774370.012,1989/04,0.047760254,0.024430991,0.021742449
4821139.935,1771361.627,8965146.302,1990/01,0.052667742,0.027194677,0.021698023
5075058.489,1819533.235,9159672.257,1990/02,0.0354729,0.028518185,0.013641366
5255085.529,1871423.02,9284622.695,1990/03,0.049498295,0.001899528,0.012709539
5515203.303,1874977.84,9402625.967,1990/04,0.003174736,-0.010301308,0.002756083
5532712.619,1855663.116,9428540.382,1991/01,0.02546774,0.024941275,0.015302258
5673618.308,1901945.721,9572818.339,1991/02,-0.009852056,0.02201967,0.001859433
5617721.5,1943825.938,9590618.351,1991/03,0.086254127,0.018561629,0.018061694
6102273.163,1979906.514,9763841.167,1991/04,0.003545588,-0.034661359,-8.74137E-05
6123909.311,1911280.263,9762987.674,1992/01,0.038177215,0.053891714,0.016398262
6357703.111,2014282.432,9923083.704,1992/02,0.026496551,0.015020528,0.00928578
6526160.318,2044538.018,10015227.28,1992/03,-0.016491014,0.013910558,0.000833074
6418537.315,2072978.682,10023570.71,1992/04,-0.027202973,-0.00291661,0.004245109
6243934.018,2066932.612,10066121.86,1993/01,0.012202428,0.009239995,0.002619288
6320125.171,2086031.058,10092487.93,1993/02,-0.004487473,0.025063461,0.010737124
6291763.782,2138314.217,10200852.22,1993/03,0.016560746,0.068375402,0.012624444
6395960.083,2284522.311,10329632.31,1993/04,0.00724257,0.059376623,0.010366712
6442283.269,2420169.531,10436716.63,1994/01,0.028895133,0.028652123,0.020958089
6628433.902,2489512.525,10655450.27,1994/02,0.016097988,0.007484607,0.008140074
6735138.354,2508145.547,10742186.42,1994/03,0.006493875,-0.036478369,0.011139454
6778875.501,2416652.489,10861848.51,1994/04,-0.066459891,-0.306341401,-0.05743085
6328352.175,1676331.779,10238043.32,1995/01,-0.020643629,-0.118932914,-0.049001464
6197712.02,1476960.756,9736364.21,1995/02,0.009113755,0.017795996,0.019487023
6254196.449,1503244.744,9926096.96,1995/03,-4.95124E-06,0.090521271,0.018576487
6254165.483,1639320.369,10110488.97,1995/04,0.020972111,0.046424351,0.025393479
6385328.534,1715424.754,10367229.46,1996/01,0.005512434,0.05751409,0.014625376
